Energy [MeV]	Cherenkov Intensity	Uncertainty
0.2	0.0	0.0
0.3	2.86144095763e-08	9.30214328636e-09
0.4	9.24118644068e-07	6.17556451802e-08
0.5	1.2638940678e-05	2.55670524689e-07
0.6	7.51168288136e-05	6.89346505257e-07
0.7	0.00021700990678	1.2795330627e-06
0.8	0.000448773694915	1.98856286379e-06
0.9	0.000769741161017	2.79262954022e-06
1	0.0011738384322	3.67462009578e-06
1.2	0.00219272733051	5.62019366292e-06
1.4	0.00340291631356	7.71910317724e-06
1.6	0.00470551936441	9.89576412092e-06
1.8	0.0060392245339	1.2113935211e-05
2	0.00738726033898	1.43753479872e-05
2.2	0.00874903351695	1.66861617508e-05
2.4	0.0100976733051	1.90226468597e-05
2.6	0.0114173155508	2.13726022034e-05
2.8	0.0127401863559	2.37587977299e-05
3	0.0140638108051	2.61893937018e-05
3.5	0.0173287144492	3.23675399132e-05
4	0.0206125334746	3.87559064337e-05
4.5	0.0239372572034	4.53633514033e-05
5	0.0273439940678	5.22019029278e-05
5.5	0.0308249127119	5.92588434148e-05
6	0.0343974436441	6.6549934952e-05
6.5	0.0380571817797	7.40530864524e-05
7	0.0418100762712	8.1762533648e-05
7.5	0.0456571131356	8.96859396891e-05
8	0.0496009199153	9.78326269343e-05
8.5	0.0535882923729	0.000106127167924
9	0.0576577466102	0.000114611443595
9.5	0.0617928605932	0.00012322801822
10	0.0660002237288	0.000132049960404
11	0.0745067423729	0.000150049088901
12	0.0832539427966	0.000168664960049
13	0.0920504817797	0.000187636297918
14	0.101006938136	0.000207178177642
15	0.110030288136	0.000227027315162
16	0.119123481356	0.000247308155863
17	0.128351410169	0.000268027670281
18	0.137648883051	0.000289079441741
19	0.147013527966	0.000310472713656
20	0.156335611017	0.000332072388498
