Energy [MeV]	Cherenkov Intensity	Uncertainty
0.0	0.0	0.0
0.3	0.0	0.0
0.4	3.22033898305e-10	1.13496061307e-09
0.5	3.83474576271e-09	4.40290747401e-09
0.6	3.99916827119e-08	1.60323373443e-08
0.7	1.77877124576e-07	3.60836823841e-08
0.8	5.6e-07	6.89445684265e-08
0.9	1.30808913559e-06	1.12716429899e-07
1	2.63283898305e-06	1.6914140751e-07
1.2	7.81650529661e-06	3.23323334648e-07
1.4	1.9319040678e-05	5.55132602744e-07
1.6	4.89887457627e-05	9.5523793e-07
1.8	0.000119385540678	1.60553925207e-06
2	0.000253793983051	2.51381177514e-06
2.2	0.000468269292373	3.64794586746e-06
2.4	0.000768013216102	4.96326224341e-06
2.6	0.00115181771186	6.42786663528e-06
2.8	0.00161201177966	8.00619875685e-06
3	0.00214058381356	9.67409182811e-06
3.5	0.00373752491525	1.41951275452e-05
4	0.00571093610169	1.9183811204e-05
4.5	0.00806156838983	2.46320744037e-05
5	0.0107729555085	3.05233431812e-05
5.5	0.0138181266949	3.68326531681e-05
6	0.0171519813559	4.35056183543e-05
6.5	0.0207274033898	5.04746415691e-05
7	0.0245161588983	5.77520577905e-05
7.5	0.0284731792373	6.52475565898e-05
8	0.0325815004237	7.29996067781e-05
8.5	0.0367946076271	8.08955293197e-05
9	0.041120959322	8.89959333972e-05
9.5	0.0455411372881	9.72603253008e-05
10	0.0500256940678	0.000105657192004
11	0.0591696635593	0.000122869597458
12	0.0685419716102	0.000140596938117
13	0.0780411004237	0.000158739222942
14	0.0876078762712	0.000177177525491
15	0.0972011008475	0.00019587646151
16	0.10682156822	0.000214806826273
17	0.116455041949	0.000233973848907
18	0.12608729322	0.00025335449891
19	0.135628156356	0.000272793590395
