Bin low edge	Bin high edge	Intensity 	Uncertainty
1.00E-02	2.00E-02	0	0
2.00E-02	3.00E-02	0	0
3.00E-02	4.50E-02	0	0
4.50E-02	6.00E-02	0	0
6.00E-02	7.00E-02	0	0
7.00E-02	7.50E-02	0	0
7.50E-02	1.00E-01	0	0
1.00E-01	1.50E-01	0	0
1.50E-01	2.00E-01	0	0
2.00E-01	2.60E-01	0	0
2.60E-01	3.00E-01	1.04E-08	3.39E-08
3.00E-01	4.00E-01	3.35E-07	2.02E-07
4.00E-01	4.50E-01	1.70E-06	4.78E-07
4.50E-01	5.10E-01	8.11E-06	1.08E-06
5.10E-01	5.12E-01	1.64E-05	1.59E-06
5.12E-01	6.00E-01	4.15E-05	2.64E-06
6.00E-01	7.00E-01	0.000139939	5.04E-06
7.00E-01	8.00E-01	0.000327247	8.02E-06
8.00E-01	9.00E-01	0.00060654	1.13E-05
9.00E-01	1.00E+00	0.00097474	1.49E-05
1.00E+00	1.20E+00	0.001680725	2.04E-05
1.20E+00	1.33E+00	0.002602948	2.64E-05
1.33E+00	1.44E+00	0.003344183	3.10E-05
1.44E+00	1.50E+00	0.003898541	3.45E-05
1.50E+00	1.57E+00	0.004328033	3.73E-05
1.57E+00	1.66E+00	0.004871458	4.07E-05
1.66E+00	1.80E+00	0.005650017	4.51E-05
1.80E+00	2.00E+00	0.006807756	5.12E-05
2.00E+00	2.15E+00	0.008016689	5.74E-05
2.15E+00	2.35E+00	0.009219806	6.35E-05
2.35E+00	2.50E+00	0.010418221	6.96E-05
2.50E+00	2.75E+00	0.011760526	7.62E-05
2.75E+00	3.00E+00	0.013446301	8.42E-05
3.00E+00	3.50E+00	0.015950371	9.54E-05
3.50E+00	4.00E+00	0.01927136	0.000109421
4.00E+00	4.50E+00	0.022638828	0.000123289
4.50E+00	5.00E+00	0.026052248	0.000137098
5.00E+00	5.50E+00	0.029568661	0.000151071
5.50E+00	6.00E+00	0.03314602	0.000164972
6.00E+00	6.50E+00	0.036837158	0.000179129
6.50E+00	7.00E+00	0.040618906	0.000193468
7.00E+00	7.50E+00	0.04450643	0.00020826
7.50E+00	8.00E+00	0.04844285	0.000222467
8.00E+00	1.00E+01	0.058671273	0.000255541
1.00E+01	1.20E+01	0.075794468	0.000305996
1.20E+01	1.40E+01	0.093618283	0.000355842
1.40E+01	2.00E+01	0.130534231	0.000450021
